잡아당기다,Pull
점검,"inspection,examination"
정원,Garden
조기,"An early stage,period"
존경하다,Respect
종,A bell
종소리,The sound of a bell
중순,The second 10 days in a month
지각,"perception,consciousness"
직선,A straight line
참외,A melon
체하다,"pretend,feign"
체험하다,"To experience, to undergo"
초대하다,To invide
총,A gun
칭찬하다,To praise somebody
코치,Coach
통일하다,"To unify, consolidate"
패션,Fashion
프린터,Printer
피디,PD – a newspaper article
하나하나,Each individual piece
학위,Academic rank
회의,"Doubt, skepticism"
가로등,A street light
감,Feelings
개개인,Individuals or  every person
걷다,1) Roll back /up one’s sleeves  2)fold or  furl up  3) finish work
고집,Persistence or  stubborness
금,Gold
급격히,Be rapid or  sudden
기능,Ability or  capacity or  skill
기막히다,Be at a loss for words
나누어지다,To become divided
낙엽,Fallen dead leaves
넘겨주다,Hand over
논리적,Logical
다가서다,"Step up, go near to, come closer"
대기하다,Be ready for the opportunity
대접,Treatment
말다,"Roll up, convolve"
맞은편,The other side of  THIS IS ONE WORD
멋,Smartness
면,Cotton
박,Staying the night
밤하늘,Night sky
변명,"Explanation, vindication"
보자기,A diver
부상,"A wound,injury"
분리하다,"To separate, break away from"
붙들다,"catch,seize,grasp"
사들이다,"buy,purchase"
상관없이,Without anything to do with
새우,"lobster,shrimp"
선원,"A crew, a ship’s company"
설사,Diarrhea
실망하다,To disappoint
심해지다,Become deep and serious
씨름,Wrestling
아쉬움,Sense of missing
앞길,"The road ahead, outlook"
약해지다,To become weak
어젯밤,Last night
엉망,"A mess, in bad shape"
여관,"A hotel, an inn"
여쭈다,"Tell a superior, inform"
연습하다,"To practice,exercise"
연출하다,"Produce, present (a play)"
열중하다,"Enthusiasm, zeal"
영웅,"A hero, a great man"
오,"Oh, ah!"
유산,"An inheritence, property left behind"
의도적,Purposefully
이따금,From time to time
임신부,An expectant mother
장기적,Long-term
재주,"ability,talent"
전설,"A tradition, a legend"
절,"clause,paragraph"
젖,The breasts
조르다,"To tease, urge sb"
주문하다,"To order, to request"
주사,"A shot, an injection"
지겹다,"To be tedious,tiring"
짐작,"guess,conjecture"
쫓겨나다,Chase away ; to fire from your job
찢다,"Tear, rend, split"
채널,Channel
출근하다,To go to work
취소하다,"To cancel, calloff"
취업,"Employment, finding a job"
칠하다,"Paint, coat"
타오르다,"Blaze, light up"
탁,"(1) With a bang, with a snap (2) widely"
평,A criticism
평화롭다,To be peaceful
표시,"A sign,signal"
표시,"A sign, signal"
하반기,The second half of the year
한구석,"A corner, a nook"
한하다,"Limit, restrict"
해답,"A solution to a problem, an answer to a question"
해소하다,"To be dissolved, disorganized"
허락하다,"Consent, agree to"
확립하다,"establish,settle,fix"
확신하다,To be confident of
흥분,"excitement,excitation"
흥분하다,be/grow excited
힘겹다,To be not strong enough to do
감수성,Receptivity or  susceptibility
거들다,Help or  assist or  lend
건너편,The opposite side
경치,A scene or  scenery
급속히,Rapidly or  swiftly
급증하다,Surge or  sudden rapid increase
깔끔하다,Be sleek and smart
꼼꼼하다,"very careful or meticulous, doing it in a very detailed manner"
낮아지다,Become lower
단순,Simplicity
대사,an ambassador
두세,Two or three (months)
매,"whip,rod,cane"
먹고살다,Make one’s living
멎다,Stop
면담,An interview
모집,Collection
모퉁이,Corner
바구니,Basket
바싹,Completely
발달되다,Be developed
발음,Pronunciation
방울,A bell
보름,"15days,the 15th day"
봉지,Bag
부딪히다,Be bumped into
비상,Emergency
비서,Secretary
뿌리치다,"Shake off, refuse"
사업자,Businessman
상대편,The other party
세트,Set
소망,"desire,wish,hope"
수동적,Passively
술잔,A glass for alcohol
슬그머니,Furtively
시장,Mayor
시청률,Popularity rating
신문사,Newspaper company
여군,A woman soldier
연인,A sweetheart
연장,"Extension, prolongation"
열흘,Ten days
예선,A preliminary match/election
옥수수,Corn
원,A circle
은행나무,A ginko tree
이웃집,The neighbor’s house
자부심,Pride
장차,"In the future, someday"
재미없다,Boring
저편,"That side,direction"
정신과,Psychiatry
제도적,Systematic
조절,"regulation,adjustment"
주거,"residing,dwelling"
주스,Juice
준비되다,To be ready
중단되다,"To be suspended,stopped"
중요시하다,Attach great importance to
지점,Branch store
진단하다,To diagnose
콜라,Cola
타다,"Get, receive, take your share of the money (회사에서 월급을 타다)"
편견,"A prejudice, a bias"
플라스틱,Plastic
환율,The exchange rate (money)
활기,"Vigor, life, vitality"
강사,Instructor or  teacher
강수량,How much rainfall
교대,Alternation or  change
구청,A ward or district office
국내외,The inside and outside of a country or  home and abroad
금지되다,To be forbidden or prohibited
기도하다,To pray
기성08,To be already existing or  established
깨뜨리다,To break or  crush
꼼짝,Cannot move
남학생,Male student
농사일,Farming
농장,"A farm, plantation"
데이트,Date
마음가짐,Mental attitude
머리칼,Hair
모,"A certain person, mr. Jones"
바퀴,Cockroach
번개,Lightning
변화되다,To be changed
부러워하다,"envy,be envious of"
부재,Absence
사망,Death
생,"1) raw,uncooked 2)living"
서늘하다,"Be cool,refreshing"
성경,The Bible
소요되다,Be needed
소화하다,To digest
순간적,"instanteous,momentary"
시집가다,To take a husband
시청,City hall
싶어지다,To come to want
씌우다,Put a hat on somebody
야간,The night time
엇갈리다,"Cross, miss eachother"
엷다,"Be thin, light"
오락,Entertainment
오른손,The right hand
우아하다,"To be elegant,refined"
이것저것,"This and that, one thing and another"
이슬,"Dew, dewdrops"
인간관계,Human relations
장기간,For a long period
저자,"A writer,author"
전선,The battle line
정지,"stop,an interruption"
제의하다,Make a suggestion
조명,"lighting,illumination"
조화되다,"harmony,agreement"
줄거리,"A stalk, a stem"
중단,"interruption,suspension"
차선,A traffic lane
착각하다,"To misunderstand, to deceive oneself, to be having illucinations"
초상화,"A portrait, a picture"
출장,A business trip
쿠데타,Coup d’etat (overthrow of the government)
퇴근,"Leaving one’s office, coming home from work"
특수성,"Particularity, distinctiveness"
항공기,An aircraft
활발히,"briskly,actively"
회화,"Conversations, talk"
흥미롭다,To be interesting
가져다주다,Take something to someone
각오,Readiness or  preparation
개방되다,To be opened
겨자,Mustard
경고하다,To warn
경제학,Economics
골프,Golf
관심사,A matter of concern and interest
구별되다,To be separated andistinguished
국사,The history of a country
굳히다,Harden or  make hard
귀국,Returning to one’s home country
그간,The while or  during tha time
그럴듯하다,Be plausible or  specious or  likely
극작가,A dramatist
기23,A flag or  a banner
기울다,To tilt or  lean
기적,A miracle
끌리다,To be drawn or  pulled or  dragged
내보내다,"Let out, let go out"
담,"A wall, fence"
따스하다,Feel warm
말투,One’s way of talking
명령어,Directive
목욕탕,A bathhouse
미끄러지다,Slippery
바닷물,Sea water
변신,"Disguise, transformation"
부친,A father
붙잡히다,Be caught
브랜드,Brand
빨다,Wash the laundry
사무,Office work
사소하다,"Be trifling,insignificant"
상,"A table,small desk"
상쾌하다,"Be refreshing,exhilirating"
성,"A family name,surname"
손길,An outstretched hand
순위,"order,ranking"
식사하다,To eat a meal
쌍,"A pair,couple"
썰렁하다,"chilly,feel cold"
암시,"A hint, suggestion"
앞날,"The futre, the days ahead"
역사상,In history
연주,A musical performance
우울하다,"To be melancholy, gloomy"
우체국,A post office
울리다,To make (a baby) cry
육상,"On land, on the ground"
음주,Drinking (alcohol)
이별,"Parting, separation; divorce"
인재,A man of ability
인종,A human race
일시적,Of a day
재밌다,"interesting,fun"
전문적,Of a specialist nature
젊음,Youth
점잖다,"To be dignified,well-bred"
조개,"shellfish,clam"
주무시다,To sleep (respectful word)
중계방송,"A relay, a hookup"
중독,Poison
지급,"supply,pay"
진실하다,"Be true, truthful"
차창,car/train window
초청하다,To invite
출발점,The starting point of a trip
출판,"Publication, publishing"
출현하다,"Appearance, turning out"
클럽,Club
키스,Kiss
탈출하다,"To escape, get away from"
판사,A judge
허락,"Consent, assent, approval"
확신,"Conviction, firm belief"
흐리다,Cloudy (weather)
걱정스럽다,Anxious or  uneasy
건설되다,To become constructed
고개,the peak or crest (of a hill)
고프다,Hungry or  famished
그제야,For the first time or  not … until
금연,Prohibition of smoking
기성세대,Old people
기술하다,To describe or give an account of
까치,Magpie
꿈속,In a dream
나비,Butterfly
남북,North and south
납득하다,"To convince, persuade oneself"
단,A grade or class
대사관,Embassy
독창적,Original
만점,Perfect score
매달,Every month
모여들다,"gather,flock"
묵다,Get old
바깥쪽,The outside
배고프다,To be hungry
버섯,Mushroom
보수,Conservation
보안,Preservation of the public peace
뵈다,See (polite)
부,"assistant,deputy"
비웃다,"Laugh at, ridicule"
비키다,Move aside
사나이,"A man, a male"
사모님,Older more respected ajuma
삼,Three
상징적,"symbolic,emblematic"
색다르다,"Be different,novel"
세미나,Seminar
세제,"detergent,cleaning material"
속삭이다,Whisper
시일,"time,days"
시합,"A contest,match"
신속하다,"Be quick,rapid,speedy"
신제품,A new product
신중하다,"To be prudent,cautious"
썩,"Very much,greatly"
암컷,"A female,a she (opp. 수컷)"
여행하다,To travel
예고하다,"Warn, give advance notice"
위반하다,To violate (the law)
윗몸,The upper body
은은하다,"To be distant,faint,indistinct"
이해관계,Mutual understanding
익히다,"cook,boil"
일대,One great/large
입력,Power input
자연현상,Natural phenomena
정류장,"stop,a station,bus-stop"
정신없이,Feel distracted and scatter-brained
정직하다,"honesty,uprightness"
조정하다,"To regulate,adjust,coordinate"
주름,Wrinkles
중요,"importance,consequence"
챔피언,Champion
최신,"Newest, the latest"
축하,"Congratulation, celebration"
취소,"Cancellation, anulment"
캐릭터,Character
커튼,Curtain
팬,"A fan, an enthusiast"
해롭다,"To be harmful, injurious"
현관문,The front door
활발해지다,To become lively
회복되다,To be recovered
희생하다,To sacrifice
가능해지다,To become possible
겨울철,The winter season
고추장,Red pepper paste
골프장,Golf course
공연히,Futile or  vain or  useless
과정,A course or  curriculum
국수,Noodles
국제적,International
그루,1) a root  2) stubble
그전,Former days or  the past
금고,A safe or  strongbox
꾸중,"Scolding, a rebuke"
끌어당기다,To draw near
끼,A meal or  a repast
능동적,"Activity ; voluntary, of its own nature (opp.  수동적)"
달빛,Moonlight
당분간,For the present
도움말,Helping words
뒷산,The back side of a mountain
만족하다,To be content
맵다,Spicy
메다,Put on one’s shoulder
몰려오다,Come in crowds
물질적,Material
미인,A beautiful girl
믿어지다,Become believable
반죽,Kneading; dough
반지,Ring
밤,Chestnut
배치,Arrangement
백인,Caucasian
본,An example
본사,Main office
부르다,To be full
불평등하다,Inequality
비타민,Vitamin
빌딩,Building
빠뜨리다,"Throw into (a river); entice, entrap"
산속,The heart of a mountain
새로이,"newly,afresh"
서양인,A Westerner
소지품,one’s things
송이,"A bunch,cluster"
쇠,Iron
수컷,A male of the species
승리하다,To win
식초,Vinegar
심부름,Errand
씨앗,Seeds
야외,"The fields, the outskirts"
얻어먹다,Go about begging
엄숙하다,"Seriousness, solemnity ; being grave, serious"
여가,"leisure,spare time"
여동생,Younger sister
연상하다,Association of ideas
옆집,The house next door
오래간만,After a long time
오래도록,"For long, a long while"
올려다보다,Look up
외다,To repeat back (an order)
외침,"A shout, a cry"
이빨,A tooth
이해,"interests,gains"
일손,Work in hand
잠바,Jumper
잠수함,Submarine
장수,"A tradesman,merchant"
장학금,Scholarship
재다,"measure,guage"
쟤,That kid
점심시간,Lunchtime
지도하다,"To lead, instruct"
지적,"Intellectual, brainy"
진로,"A course,direction,path"
진행자,Leader of the performance
쪽,"A side, direction"
찾아다니다,To go around to meet somebody or see places
책임감,Feeling of responsibility
체온,Body temperature
초밥,Japanese vinegared rice vegetables
출구,An exit
출입문,Door for exiting and entering
통과,Passage
포장마차,A wheeled snack bar on the street
푸다,"Dip out, bail out"
풀,Glue (spread the ~)
피망,A pimento
필름,Film
한결,"Stands out conspicuously, especially"
한여름,"Midsummer, the middle of summer"
항공,An airport
호선,The track number for a train
회전,"Revolution, rotation"
휴지,Toilet paper
가위,Scissors
고속,High speed
곧다,Be straight or upright or  erect
골치,Worry or  anxiety
구하다,Rescue a person
내달,Next month
넷째,Fourth
놔두다,"Leave as it is, let it be"
늦어지다,To become late
도망가다,"Make a go for it, escape"
독하다,Be poison
만,To be of sufficient quantity
명단,List of names
무의미하다,Be nonsense
문구,"passage,paragraph"
뭣,What (thing)?
미만,"under,below ; less than"
백색,White
비바람,Rain and wind
사기,"morale,fighting spirit"
사망하다,"To decease,pass away"
사무직,Working in the office not in the factory
소질,"temperament,character"
솜,Cotton
시디롬,Cd-rom
식생활,Dietary life
신호등,"Signal light, blinker"
신혼여행,the honeymoon (the trip after the wedding)
실,Thread (to wind thread)
씩씩하다,"Be brave,valiant"
연구실,A laboratory
월드컵,World cup
유머,Humor
의류,"Clothes, dresses; clothing"
입원,Hospitalization
잊혀지다,To become forgotten
잘살다,"To be affluent, well-off"
장가,To get married
적응,Adaptation
정리되다,To be adjusted
조,"A company,group"
졸업생,A graduate
죽다,Lose your spirit
창피하다,To be ashamed
친절,"Kindness, goodness"
침실,Bedroom
태권도,Tae kwon do
토론하다,"To debate, discuss"
하나하나,Each individual piece
합하다,"Harmonize with, be in accord with"
핸드백,Handbag
햄버거,Hamburger
가정교사,Private tutor
감사,Thanks
공통적,Commonly
교육자,An educator
교재,Teaching material or  insruction materials
기타,Guitar
길어지다,To become long
깨소금,Powdered sesame mixed with salt
나빠지다,To become worse
남,A man
놓아두다,"Leave as it is, let it be"
대접하다,Treatment
무궁화,The rose of Sharon
바이러스,Virus
방바닥,room’s floor
번거롭다,Be troublesome.  할 일이 많아서 아주 바쁘다
사냥,"Hunting, a hunt"
사회생활,Social life
설거지,Dishwashing
수년,Several years
수출하다,To export
숙소,one’s address
슈퍼마켓,Supermarket
심리적,Psychological
연기,"postponement,deferment"
위로,"consolation,solace"
이용자,A user; visitor
입력하다,To input (data into the computer)
자격증,A qualification certificate
진료,Medical examination and treatment
창가,"Next to a window, or, the window’s edge"
초조하다,"Be impatient, irritated"
타다,"Put in, mix, dissolve"
한잔하다,To drink a glass of liquor
함께하다,"To do it together, with somebody"
합격하다,To pass an exam
화장지,Soft paper used when applying makeup
힘껏,With all one’s might
가요,A song
감상,Appreciation
공짜,Free
공통되다,To be common
그만하다,Be about the same or  be neither better nor worse
나들이,"Going out, an outing ; making a short visit to sb or somewhere"
녹이다,"Melt, dissolve"
눈가,The eye rims
도망,Escape
모기,A mosquito
미니,Mini
방면,Direction
법적,Legal
벤치,Bench
보수,"mending,repair"
볼일,"business,errand,engagement"
부끄러움,"shame,disgrace"
비누,Soap
비행,An irregularity
빗줄기,Great streaks of rain
사회학,Social science
성적,Sexual
세수,Hand-washing
순진하다,"To be naive,pure"
스웨터,Sweater
심심하다,to be bored
어려워지다,To become difficult
여행사,Travel agency
올라서다,Stand up
왼손,The right hand
유학생,A foreign student
은,Silver
자리,A spot at a table
잘생기다,To be handsome
장애인,A handicapped person
재활용품,A recycled product
저러다,Like that
저리,That place
절약하다,To economize
정반대,"Direct opposition, the exact reverse"
진동,"vibration,shake"
찌개,A pot stew
추천,A recommendation
학점,"A unit, a point, a credit"
한가하다,"To be free, not busy"
합격,Success in an examination
환영하다,To welcome
간접적,Indirect or  mediate
갈다,Renew or  substitute ; same as 바꾸다
경영하다,To manage or  adminster
그리움,Yearning or  affection
그사이,The while or  the meantime
기념하다,Commemorate
기도,A prayer
길거리,A street
꽃잎,A petal
넥타이,Necktie
대강,General principles
독립하다,To become independent
문밖,Outside the door
방송하다,Broadcast
보충하다,"replenish,replace,fillup"
불완전하다,To be imerfect
불평,Dissatisfaction
붐비다,"Be congested,crowded ; to be full of"
생활환경,Life environment
서명,"signing,autographing"
손등,The back of the hand
역사학,The study of history
영,"Really, totally"
오리,Duck
요리사,"A chef, a cook"
원,Goodness! Gracious!
원서,"An application, a written request"
월,A month
이론적,Theoretical
이제야,These days
임신하다,To be pregnant
입원하다,To enter a hospital
자취,"A trace,vestige"
잠그다,To lock
잡수시다,"eat,drink"
장난감,A toy
장례,A funeral
전기밥솥,Electric rice cooker
지금껏,"So far, till now"
지름길,A shortcut
지진,Earthquake
참석자,Persons present
창구,A window
최저,"The lowest, the minimum/lowest price"
코미디,Comedy
튀기다,"To fry; splash, splatter"
필수,"necessary,indispensable"
하품,Yawning
한국말,Korean (language)
횟수,"The number of times, the frequency"
흐리다,"Be muddy, cloudy ;  with a tint of"
가능,Possibility
값싸다,Cheap or  low-priced
계란,An egg
교문,A school gate
권투,Boxing or  K1
긴장감,Feeling of tension
김,"1) Steam 2) scent, aroma"
넷,4
매달다,"Bind up, hang:  묶어서 드리우거나 걸다."
매주,Every week
문제되다,Become a problem
받침,"Support, prop"
북,North
불이익,"disadvantage,drawback"
불필요하다,To be unnecessary
산부인과,Obstetrics and gynecology
새우다,Sit up all night
서명하다,To sign
수,"way,method"
수고하다,To work hard
수학,Pursuit of knowledge
신부,"A holy father,priest"
쓸데없다,To be useless
아뇨,"No, nay"
아래쪽,"The lower part, the bottom"
아스팔트,Asphalt
아하,Dear me!  Goodness!
알코올,Alcohol
액세서리,Accessory
에어컨,Air conditioner
염려하다,"To worry, be anxious about"
오이,Cucumber
외삼촌,An uncle on one’s mother’s side
요,Right near at hand
웃음소리,The sound of laughing
위쪽,The upper direction
음료수,Drinking water
인쇄,"printing,typography"
잔디,Lawn
전세,renting with a big downpayment and not paying month to month
조깅,Jogging
초대,An invitation
치다,"(a storm, strong wind, rain, lightning) to strike, hit"
캠퍼스,Campus
터널,Tunnel
통,Counters for letters
퇴직금,Retirement grants
환갑,one’s 60th anniversary
가만있다,Remain still or  motionless
간편하다,Simplicity or  convenience
감동적,Sensational
건너오다,To come across to this side of something
관광지,Tourist area
교복,School uniform
교포,A Korean living abroad
귀가하다,To return home
날아다니다,Fly about
마음씨,"Disposition, nature"
만,"Just, full"
메모,Memo
몇십,In the tens
몸매,one’s figure
몸무게,Body weight
무관심,"Indifference, unconcern"
반짝이다,"Shine, glitter"
배달,Delivery
번역,Translation
부인,Wife
분주하다,"Be busy,crowded"
비닐봉지,Plastic bag
비판적,Critical
뺏다,Straight
사전,Dictionary
서랍,A drawer
소나기,A sudden rain shower
소중히,"seriously,with care"
손잡이,"A handle,knob"
수도꼭지,"A faucet,tap"
실례,"rudeness,impolite"
싸구려,"cheap,inferior (a bargain)"
안녕,hello/goodbye
안되다,To refuse to accept
약국,Pharmacy
어찌나,"extremely,quite,awfully"
엉터리,"Fake, sham"
연하다,"Tender, soft, mild"
원숭이,A monkey
위법,"illegality,a breach of the law"
육체적,"Corporeal, of the flesh"
음력,The lunar calendar
이혼,Divorce
일회용,For one time use
잔디밭,"lawn,grass"
저기,"“hey,look here,now”"
전문직,Specialty job
전화기,Telephone receiver
제출,"presentation,submission"
지난주,Last week
진달래,Azalea
쪽,"A portion, a side"
찌다,"chop,hack"
차남,one’s second eldest son
채점,"marking,grading,scoring"
침착하다,"Self-possession, composure"
캄캄하다,To be pitch-black
타자기,A typewriter
팬티,Panties (male and female underwear)
편히,"Easily, comfortably"
포인트,Point
포크,Fork
한밤중,Midnight
효도,Filial piety
가구,Furniture
간호사,Nurse
개나리,A forsythia or  a golden-bell tree
고등학생,High school student
골목길,An alley
귀가,Returning home
그리워하다,Yearn or  be attached to
기억나다,To memorize
기침,Coughing
노랫소리,A singing voice
다섯,5
닭고기,Chicken meat for eating
대학교수,University professor
딸아이,Daughter
만족스럽다,Satisfied
미움,Hatred
바가지,A gourd dipper
발끝,On tiptoes
배꼽,The navel
병실,An infirmary
봉사하다,"serve,render service"
비행장,An airfield
사랑스럽다,Lovely
숟가락,A spoon
술병,A bottle of alcohol
습기,"moisture,humidity"
쓰이다,Be writted
엽서,A postcard
예보,"forecast,predict"
요일,A day of the week not the weekend
욕실,"A bathroom,a bath"
용감하다,"To be brave, courageous"
운전기사,The driver
위험성,"riskiness,jeapordy"
익다,"Get familiar with, experienced with"
일,One
장마,The rainy spell in the summer
재학,"To be in school, be attending school"
전기,a biography
전시하다,To display
정기적,"fixed,regular (time sth)"
종교적,Of religions
주관적,Subjective
직장인,A worker
진심,"The whole heart, sincerity"
질문하다,Ask a person a question
짧아지다,To become short
찌다,To put on weight
책가방,Bookbag
천국,Heaven
치약,Toothpaste
큰절,A deep bow
학과,A department in a college
후회,"repentance,regret"
강조,Emphasis or  stress
게시판,A notice board or  a bulletin board
공통점,A common point or  a common feature
과외,Extracurricular work
교내,Inside the school
구15,Ward or  district
금요일,Friday
김밥,Roll of rice and vegetables
내적,Internal
놀이터,Playground
다녀가다,Drop in for a short visit
답장,An answer
마라톤,Marathon
매스컴,Mass communication
무,"nothing,nil"
묵다,Stay overnight s.w.
바나나,Banana
발등,The instep of the foot
밤새,All night
별일,A particular thing
보내오다,받다 receive
부채,"A debt,liabilities"
불법,Buddhism
블라우스,Blouse
사업가,Businessman
사이좋다,Be on good terms with
세상에,In the world
수고,"toil,labor,pains"
수요일,Wednesday
슬퍼하다,"sorrow,feel sad"
시금치,Spinach
신청서,"Application, application form"
쓰레기통,Garbage can
아랫사람,Subordinate
앞쪽,"The front, the fore part"
앨범,Album
양,"A sheep, ram"
여전하다,"Be unchanged, the same as before"
영남,The southeastern part of Korea
옥상,On the roof
왼발,The right foot
운전하다,To drive
위,The stomach
일기,The weather
일자리,"A job, position"
자매,Sisters
저번,"Last time, the other day"
전시장,An exhibition hall
절약,"thrift,savings,economy"
정답,The right answer
정오,Noon
제대하다,Be discharged from the military
졸다,"doze,take a nap"
즉석,"instantly,impromptu"
지방,"Fat, grease, lard"
차차,Gradually
추측,"Guess, conjecture"
충고,"Advice, counsel, suggestion"
코피,A nose bleed
턱,"Reason, grounds"
팩시밀리,"Facximile, fax"
한낮,Noon
할인,A discount
가득히,Full
간호,Nursing or  care
갑,1) The first  2) the former
건너,The other or  opposite side
걷다,Walk on or  tread on
겁나다,Be frightened or  scared
고구마,Sweet potato
국기,The national flag
금메달,Gold medal
노트,A note
눈감다,Close the eyes
눈뜨다,Open one’s eyes
대화하다,To converse
도마,A chopping board
동화책,A fairy tale
모집하다,Call/appeal for
미워하다,Dislike
